Route_ID,From_City,From_State,To_City,To_State,Bus_Operator,Bus_Type,Distance_Miles,Distance_KM,Primary_Highway,Departure_Time,Arrival_Time,Duration_Hours,Ticket_Price_USD,Seats_Available,Total_Seats,Amenities,Booking_Type
1,New York,New York,Philadelphia,Pennsylvania,Greyhound Express,Seater,97,156,I-95,07:00,09:00,2.5,25,45,45,"WiFi, Charging, AC",Online/Station
2,New York,New York,Philadelphia,Pennsylvania,FlixBus Morning,Seater,97,156,I-95,09:00,11:00,2.5,19,50,50,"WiFi, AC",Online/Station
3,New York,New York,Philadelphia,Pennsylvania,Megabus Express,Seater,97,156,I-95,14:00,16:00,2.5,15,55,55,"WiFi, Charging",Online
4,New York,New York,Philadelphia,Pennsylvania,Greyhound Night,AC,97,156,I-95,22:00,00:00,2.5,35,40,40,"WiFi, Blanket, AC",Online/Station
5,New York,New York,Boston,Massachusetts,Greyhound Express,Seater,232,373,I-95,08:00,13:30,4.5,45,45,45,"WiFi, Charging, AC",Online/Station
6,New York,New York,Boston,Massachusetts,FlixBus Comfort,Luxury,232,373,I-95,10:00,15:30,4.5,65,30,30,"WiFi, Meals, USB, Recliner",Online/Station
7,New York,New York,Boston,Massachusetts,Peter Pan Night,AC,232,373,I-95,22:00,03:30,4.5,55,40,40,"WiFi, Blanket, Pillow",Online
8,New York,New York,Washington DC,DC,Bolt Bus,Seater,255,410,I-95,06:30,13:00,5.0,39,50,50,"WiFi, Charging, AC",Online
9,New York,New York,Washington DC,DC,Luxury Liner,Luxury,255,410,I-95,16:00,22:30,5.0,75,25,25,"WiFi, Meals, Lounge, AC",Online
10,New York,New York,Albany,New York,Empire State Express,Seater,155,249,I-87,07:30,10:00,3.5,28,50,50,"WiFi, Charging, AC",Online
11,New York,New York,Buffalo,New York,Niagara Express,Seater,351,565,I-90,08:00,15:30,7.0,55,45,45,"WiFi, Charging, AC",Online
12,New York,New York,Providence,Rhode Island,Ocean State Express,Seater,183,295,I-95,08:00,11:30,4.0,32,45,45,"WiFi, Charging, AC",Online
13,New York,New York,Hartford,Connecticut,Constitution Shuttle,Seater,118,190,I-95,07:00,09:30,2.5,24,50,50,"WiFi, AC",Online
14,Albany,New York,Buffalo,New York,Mohawk Express,Seater,308,496,I-90,09:00,15:00,6.0,42,45,45,"WiFi, Charging, AC",Online
15,Buffalo,New York,Cleveland,Ohio,Lake Front Express,Seater,211,340,I-90,10:00,13:30,4.5,32,50,50,"WiFi, AC",Online
16,Boston,Massachusetts,Providence,Rhode Island,Bay State Shuttle,Seater,49,79,I-95,07:30,09:00,1.5,16,50,50,"WiFi, AC",Online
17,Boston,Massachusetts,Hartford,Connecticut,New England Express,Seater,114,183,I-84,08:00,10:00,2.5,22,50,50,"WiFi, AC",Online
18,Boston,Massachusetts,Burlington,Vermont,Green Mountain Express,Seater,227,365,I-89,08:00,12:30,4.5,38,45,45,"WiFi, Charging, AC",Online
19,Boston,Massachusetts,Portland ME,Maine,Pine Tree Shuttle,Seater,120,193,I-95,07:00,09:30,2.5,24,50,50,"WiFi, AC",Online
20,Boston,Massachusetts,Washington DC,DC,Northeast Corridor Bus,AC,493,793,I-95,07:00,17:30,9.5,65,45,45,"WiFi, Charging, Blanket, AC",Online
21,Philadelphia,Pennsylvania,Washington DC,DC,Capitol Express,Seater,151,243,I-95,08:00,11:30,3.0,29,50,50,"WiFi, Charging, AC",Online
22,Philadelphia,Pennsylvania,Baltimore,Maryland,Mid-Atlantic Shuttle,Seater,108,174,I-95,07:00,09:00,2.5,22,50,50,"WiFi, AC",Online
23,Philadelphia,Pennsylvania,Pittsburgh,Pennsylvania,Keystone Express,Seater,322,518,I-76,08:00,14:00,6.5,45,45,45,"WiFi, Charging, AC",Online
24,Philadelphia,Pennsylvania,Harrisburg,Pennsylvania,Keystone Connector,Seater,114,183,I-76,08:00,10:00,2.5,22,50,50,"WiFi, AC",Online
25,Washington DC,DC,Philadelphia,Pennsylvania,Coastal Connector,Seater,151,243,I-95,07:30,11:00,3.0,29,50,50,"WiFi, Charging, AC",Online
