Route_ID,From_City,From_State,To_City,To_State,Bus_Operator,Bus_Type,Distance_Miles,Distance_KM,Primary_Highway,Departure_Time,Arrival_Time,Duration_Hours,Ticket_Price_USD,Seats_Available,Total_Seats,Amenities,Booking_Type
1,New York,New York,Philadelphia,Pennsylvania,Trailways Afternoon,Sleeper,95,152,I-10,12:00,13:00,1.7,15,32,45,"WiFi, AC, Charging",Online/Station
2,New York,New York,Philadelphia,Pennsylvania,FlixBus Evening,Seater,95,152,I-35,17:00,18:00,1.7,12,29,40,"WiFi, AC, Restroom, Charging",Online/Station
3,New York,New York,Boston,Massachusetts,Peter Pan Afternoon,Luxury,232,373,US-66,14:00,18:00,4.2,38,45,50,"AC, Restroom",Station
4,New York,New York,Boston,Massachusetts,BoltBus Morning,Seater,232,373,I-90,08:00,12:00,4.2,36,29,45,"AC, Charging",Online/Station
5,New York,New York,Boston,Massachusetts,FlixBus Night,Seater,232,373,I-10,22:00,02:00,4.2,41,24,50,"WiFi, AC, Snacks",Station
6,New York,New York,Washington DC,DC,Megabus Morning,Seater,243,390,I-35,10:00,14:00,4.4,59,48,50,AC,Station
7,New York,New York,Washington DC,DC,FlixBus Afternoon,AC,243,390,I-75,12:00,16:00,4.4,58,18,40,"AC, Restroom",Online/Station
8,New York,New York,Washington DC,DC,Peter Pan Morning,Luxury,243,390,I-95,08:00,12:00,4.4,38,51,55,AC,Online
9,New York,New York,Newark,New Jersey,Peter Pan Afternoon,Sleeper,11,17,US-1,16:00,16:00,0.2,10,15,50,"WiFi, Charging",Online/Station
10,New York,New York,Newark,New Jersey,Megabus Evening,Seater,11,17,I-75,19:00,19:00,0.2,10,49,50,"WiFi, AC, Charging",Online
11,New York,New York,Albany,New York,Greyhound Afternoon,Seater,134,215,I-10,13:00,15:00,2.4,19,6,50,"WiFi, AC, Charging",Online
12,New York,New York,Albany,New York,FlixBus Afternoon,AC,134,215,I-40,14:00,16:00,2.4,14,50,50,"WiFi, AC, Snacks",Online
13,New York,New York,Albany,New York,Southeastern Stages Morning,Luxury,134,215,I-25,09:00,11:00,2.4,12,16,40,"WiFi, AC",Online
14,New York,New York,Albany,New York,Southeastern Stages Night,Seater,134,215,I-80,20:00,22:00,2.4,29,8,45,"WiFi, AC, Restroom, Charging",Online
15,New York,New York,Buffalo,New York,Jefferson Lines Morning,Seater,368,592,I-25,10:00,16:00,6.7,78,24,45,"AC, Restroom",Online/Station
16,New York,New York,Buffalo,New York,Jefferson Lines Evening,Luxury,368,592,I-70,18:00,00:00,6.7,85,20,45,"AC, Restroom",Online/Station
17,New York,New York,Buffalo,New York,Megabus Night,Sleeper,368,592,I-5,22:00,04:00,6.7,34,32,45,"AC, Restroom",Online/Station
18,Boston,Massachusetts,Providence,Rhode Island,FlixBus Afternoon,Sleeper,44,70,US-66,15:00,15:00,0.8,10,40,50,"WiFi, AC",Online/Station
19,Boston,Massachusetts,Providence,Rhode Island,OurBus Morning,Luxury,44,70,US-66,07:00,07:00,0.8,10,22,55,"WiFi, Charging",Online
20,Boston,Massachusetts,Hartford,Connecticut,Megabus Afternoon,AC,119,191,I-80,16:00,18:00,2.2,27,41,50,"AC, Restroom",Online/Station
21,Boston,Massachusetts,Hartford,Connecticut,Peter Pan Morning,Luxury,119,191,I-95,09:00,11:00,2.2,21,17,50,AC,Station
22,Boston,Massachusetts,Albany,New York,Greyhound Morning,AC,187,300,US-66,11:00,14:00,3.4,24,29,50,"WiFi, AC",Online
23,Boston,Massachusetts,Albany,New York,RedCoach Afternoon,Seater,187,300,I-10,12:00,15:00,3.4,20,1,40,"AC, Charging",Online
24,Boston,Massachusetts,Albany,New York,OurBus Morning,Luxury,187,300,I-35,06:00,09:00,3.4,15,29,40,AC,Online
25,Boston,Massachusetts,Washington DC,DC,Peter Pan Night,Luxury,476,765,I-90,22:00,06:00,8.7,98,2,50,"WiFi, Charging",Station
26,Boston,Massachusetts,Washington DC,DC,Jefferson Lines Evening,AC,476,765,I-40,18:00,02:00,8.7,86,14,45,"WiFi, AC, Snacks",Online
27,Boston,Massachusetts,Washington DC,DC,Trailways Afternoon,Seater,476,765,I-35,16:00,00:00,8.7,41,5,40,"WiFi, AC",Online/Station
28,Philadelphia,Pennsylvania,Baltimore,Maryland,RedCoach Afternoon,Seater,109,175,I-95,14:00,16:00,2.0,25,35,55,"WiFi, Charging",Online
29,Philadelphia,Pennsylvania,Baltimore,Maryland,RedCoach Morning,Sleeper,109,175,I-35,08:00,10:00,2.0,17,44,55,"WiFi, AC, Charging",Online
30,Philadelphia,Pennsylvania,Washington DC,DC,Southeastern Stages Evening,Seater,147,236,I-35,17:00,19:00,2.7,14,40,55,"WiFi, AC, Snacks",Online
31,Philadelphia,Pennsylvania,Washington DC,DC,Peter Pan Morning,AC,147,236,US-1,06:00,08:00,2.7,12,41,45,"WiFi, AC",Online/Station
32,Philadelphia,Pennsylvania,Washington DC,DC,OurBus Afternoon,Sleeper,147,236,US-1,12:00,14:00,2.7,33,52,55,"WiFi, AC, Snacks",Online/Station
33,Philadelphia,Pennsylvania,Newark,New Jersey,RedCoach Afternoon,Seater,87,139,I-40,13:00,14:00,1.6,10,36,45,"AC, Restroom",Station
34,Philadelphia,Pennsylvania,Newark,New Jersey,Trailways Evening,AC,87,139,US-1,18:00,19:00,1.6,10,42,50,"AC, Restroom",Station
35,Philadelphia,Pennsylvania,Pittsburgh,Pennsylvania,Southeastern Stages Afternoon,AC,335,539,I-25,16:00,22:00,6.1,63,21,45,"AC, Restroom",Online
36,Philadelphia,Pennsylvania,Pittsburgh,Pennsylvania,OurBus Morning,Luxury,335,539,I-5,09:00,15:00,6.1,33,19,55,"WiFi, AC",Online/Station
37,Philadelphia,Pennsylvania,Pittsburgh,Pennsylvania,BoltBus Afternoon,Luxury,335,539,I-75,12:00,18:00,6.1,27,12,55,"WiFi, AC, Charging",Online/Station
38,Washington DC,DC,Baltimore,Maryland,RedCoach Morning,Seater,39,62,I-40,07:00,07:00,0.7,10,3,45,"WiFi, AC, Charging",Online/Station
39,Washington DC,DC,Baltimore,Maryland,Peter Pan Morning,Luxury,39,62,I-75,11:00,11:00,0.7,10,38,55,"WiFi, AC, Restroom, Charging",Station
40,Washington DC,DC,Richmond,Virginia,Greyhound Morning,Luxury,98,157,I-70,08:00,09:00,1.8,19,6,40,"WiFi, Charging",Online
41,Washington DC,DC,Richmond,Virginia,Jefferson Lines Morning,Seater,98,157,I-80,07:00,08:00,1.8,14,6,40,"AC, Restroom",Online/Station
42,Washington DC,DC,Charlotte,North Carolina,Greyhound Morning,Sleeper,365,587,I-10,06:00,12:00,6.6,59,7,50,"AC, Charging",Station
43,Washington DC,DC,Charlotte,North Carolina,Southeastern Stages Evening,Seater,365,587,I-95,17:00,23:00,6.6,85,4,45,"WiFi, AC",Online
44,Washington DC,DC,Charlotte,North Carolina,OurBus Afternoon,Luxury,365,587,US-1,15:00,21:00,6.6,34,28,55,"WiFi, AC, Restroom, Charging",Online/Station
45,Miami,Florida,Orlando,Florida,BoltBus Afternoon,AC,208,334,I-40,14:00,17:00,3.8,28,12,50,"WiFi, AC, Charging",Station
46,Miami,Florida,Orlando,Florida,Southeastern Stages Morning,Seater,208,334,I-75,10:00,13:00,3.8,35,31,45,"WiFi, AC, Snacks",Station
47,Miami,Florida,Tampa,Florida,FlixBus Evening,Sleeper,217,349,I-40,18:00,21:00,3.9,46,6,40,"AC, Restroom",Station
48,Miami,Florida,Tampa,Florida,Trailways Morning,AC,217,349,I-35,09:00,12:00,3.9,25,21,45,"WiFi, AC, Restroom, Charging",Online
49,Miami,Florida,Tampa,Florida,Jefferson Lines Morning,Luxury,217,349,I-35,11:00,14:00,3.9,49,35,40,"WiFi, AC, Charging",Station
50,Miami,Florida,Jacksonville,Florida,OurBus Morning,AC,331,532,I-25,07:00,13:00,6.0,31,3,50,"AC, Charging",Online/Station
51,Miami,Florida,Jacksonville,Florida,Trailways Night,Luxury,331,532,I-90,20:00,02:00,6.0,51,25,45,"WiFi, AC, Restroom, Charging",Online/Station
52,Miami,Florida,Jacksonville,Florida,Peter Pan Night,AC,331,532,I-80,22:00,04:00,6.0,26,3,55,"AC, Restroom",Station
53,Orlando,Florida,Tampa,Florida,OurBus Morning,AC,84,135,US-1,07:00,08:00,1.5,10,11,40,"AC, Charging",Station
54,Orlando,Florida,Tampa,Florida,Southeastern Stages Afternoon,AC,84,135,I-25,16:00,17:00,1.5,13,5,55,"WiFi, AC, Snacks",Online
55,Orlando,Florida,Jacksonville,Florida,FlixBus Morning,Seater,125,201,I-35,11:00,13:00,2.3,27,25,50,"WiFi, AC, Restroom, Charging",Online/Station
56,Orlando,Florida,Jacksonville,Florida,Peter Pan Morning,Luxury,125,201,I-70,07:00,09:00,2.3,13,24,40,"WiFi, AC",Online
57,Tampa,Florida,Jacksonville,Florida,RedCoach Afternoon,Sleeper,173,278,US-66,13:00,16:00,3.1,38,22,40,"WiFi, AC, Snacks",Online/Station
58,Tampa,Florida,Jacksonville,Florida,Trailways Night,AC,173,278,US-1,22:00,01:00,3.1,19,22,55,AC,Online
59,Atlanta,Georgia,Charlotte,North Carolina,Southeastern Stages Morning,Sleeper,265,426,I-25,11:00,15:00,4.8,28,43,50,"AC, Charging",Online/Station
60,Atlanta,Georgia,Charlotte,North Carolina,OurBus Night,AC,265,426,I-75,20:00,00:00,4.8,56,3,55,AC,Station
61,Atlanta,Georgia,Charlotte,North Carolina,Jefferson Lines Morning,Sleeper,265,426,I-95,06:00,10:00,4.8,51,36,45,"AC, Charging",Station
62,Atlanta,Georgia,Nashville,Tennessee,OurBus Night,Seater,234,376,I-80,22:00,02:00,4.3,45,16,40,"WiFi, AC, Charging",Online/Station
63,Atlanta,Georgia,Nashville,Tennessee,Megabus Afternoon,Sleeper,234,376,I-40,14:00,18:00,4.3,57,11,50,"AC, Charging",Station
64,Atlanta,Georgia,Nashville,Tennessee,BoltBus Afternoon,Sleeper,234,376,I-35,16:00,20:00,4.3,49,16,40,"WiFi, AC",Online
65,Atlanta,Georgia,Nashville,Tennessee,Southeastern Stages Afternoon,Seater,234,376,I-35,15:00,19:00,4.3,51,43,55,AC,Station
66,Atlanta,Georgia,Savannah,Georgia,RedCoach Afternoon,Luxury,254,408,US-1,16:00,20:00,4.6,27,6,45,AC,Station
67,Atlanta,Georgia,Savannah,Georgia,Trailways Morning,Sleeper,254,408,I-25,09:00,13:00,4.6,53,19,50,"WiFi, AC",Online
68,Atlanta,Georgia,Savannah,Georgia,BoltBus Morning,Seater,254,408,I-40,09:00,13:00,4.6,54,50,55,AC,Online
69,Atlanta,Georgia,Savannah,Georgia,Jefferson Lines Morning,Seater,254,408,I-95,07:00,11:00,4.6,26,13,40,"AC, Restroom",Online
70,Atlanta,Georgia,Birmingham,Alabama,Trailways Morning,Sleeper,167,268,I-75,07:00,10:00,3.0,37,6,50,"AC, Charging",Online/Station
71,Atlanta,Georgia,Birmingham,Alabama,RedCoach Afternoon,Luxury,167,268,I-5,14:00,17:00,3.0,33,35,50,"WiFi, AC, Charging",Online
72,Atlanta,Georgia,Birmingham,Alabama,Megabus Night,AC,167,268,I-75,22:00,01:00,3.0,23,35,45,AC,Online
73,Atlanta,Georgia,Jacksonville,Florida,FlixBus Night,Seater,301,484,I-40,20:00,01:00,5.5,59,19,40,"WiFi, AC, Charging",Online/Station
74,Atlanta,Georgia,Jacksonville,Florida,BoltBus Afternoon,Seater,301,484,US-66,12:00,17:00,5.5,74,30,45,"WiFi, Charging",Station
75,Atlanta,Georgia,Jacksonville,Florida,FlixBus Afternoon,AC,301,484,I-90,13:00,18:00,5.5,34,17,50,"AC, Charging",Station
76,Chicago,Illinois,Indianapolis,Indiana,Peter Pan Morning,Luxury,177,284,I-90,11:00,14:00,3.2,32,2,45,AC,Station
77,Chicago,Illinois,Indianapolis,Indiana,OurBus Afternoon,Seater,177,284,I-90,15:00,18:00,3.2,16,44,50,"WiFi, AC, Restroom, Charging",Station
78,Chicago,Illinois,Detroit,Michigan,Megabus Evening,Sleeper,317,510,I-90,17:00,22:00,5.8,39,47,50,"AC, Charging",Online/Station
79,Chicago,Illinois,Detroit,Michigan,Greyhound Afternoon,Sleeper,317,510,I-25,15:00,20:00,5.8,73,39,40,"AC, Restroom",Online
80,Chicago,Illinois,Milwaukee,Wisconsin,Peter Pan Morning,Luxury,82,131,I-80,10:00,11:00,1.5,12,3,40,"WiFi, AC, Snacks",Online
81,Chicago,Illinois,Milwaukee,Wisconsin,OurBus Morning,Luxury,82,131,I-25,07:00,08:00,1.5,20,30,50,"AC, Restroom",Online/Station
82,Chicago,Illinois,Saint Louis,Missouri,Peter Pan Afternoon,AC,285,458,I-40,12:00,17:00,5.2,49,15,40,"AC, Charging",Online
83,Chicago,Illinois,Saint Louis,Missouri,Jefferson Lines Morning,Seater,285,458,I-70,08:00,13:00,5.2,41,43,45,"AC, Charging",Online/Station
84,Chicago,Illinois,Minneapolis,Minnesota,OurBus Morning,AC,443,712,I-80,10:00,18:00,8.1,86,0,45,AC,Online/Station
85,Chicago,Illinois,Minneapolis,Minnesota,Trailways Afternoon,Sleeper,443,712,I-40,16:00,00:00,8.1,53,45,55,"WiFi, AC, Charging",Online/Station
86,Chicago,Illinois,Minneapolis,Minnesota,RedCoach Morning,AC,443,712,I-90,07:00,15:00,8.1,73,37,50,"AC, Restroom",Station
87,Chicago,Illinois,Kansas City,Missouri,Greyhound Afternoon,Seater,516,830,I-95,15:00,00:00,9.4,85,6,40,"WiFi, AC, Charging",Station
88,Chicago,Illinois,Kansas City,Missouri,RedCoach Morning,AC,516,830,I-75,11:00,20:00,9.4,80,24,50,"WiFi, AC, Snacks",Online/Station
89,Chicago,Illinois,Kansas City,Missouri,Megabus Afternoon,Seater,516,830,I-80,12:00,21:00,9.4,98,9,45,"WiFi, AC, Snacks",Online
90,Los Angeles,California,San Diego,California,Southeastern Stages Evening,AC,118,189,US-66,19:00,21:00,2.1,15,10,40,"WiFi, AC, Restroom, Charging",Online/Station
91,Los Angeles,California,San Diego,California,Trailways Evening,Seater,118,189,I-10,19:00,21:00,2.1,28,49,50,"AC, Charging",Station
92,Los Angeles,California,San Diego,California,OurBus Morning,Sleeper,118,189,I-95,07:00,09:00,2.1,29,39,40,"AC, Charging",Online/Station
93,Los Angeles,California,Las Vegas,Nevada,RedCoach Afternoon,Luxury,259,416,US-1,14:00,18:00,4.7,58,12,50,"WiFi, Charging",Station
94,Los Angeles,California,Las Vegas,Nevada,Peter Pan Morning,Seater,259,416,I-25,06:00,10:00,4.7,45,0,50,"AC, Charging",Station
95,Los Angeles,California,Las Vegas,Nevada,OurBus Morning,AC,259,416,I-10,10:00,14:00,4.7,22,19,40,"WiFi, AC, Charging",Online/Station
96,Los Angeles,California,San Francisco,California,FlixBus Morning,Seater,385,619,I-80,10:00,17:00,7.0,52,2,40,"WiFi, AC, Restroom, Charging",Station
97,Los Angeles,California,San Francisco,California,RedCoach Evening,Seater,385,619,I-90,17:00,00:00,7.0,68,15,45,"WiFi, Charging",Online
98,Los Angeles,California,San Francisco,California,Southeastern Stages Afternoon,Luxury,385,619,I-80,13:00,20:00,7.0,67,42,55,"AC, Charging",Online
99,Los Angeles,California,San Francisco,California,RedCoach Evening,Sleeper,385,619,I-5,19:00,02:00,7.0,36,14,40,AC,Online
100,Los Angeles,California,Phoenix,Arizona,OurBus Morning,Luxury,427,687,I-35,06:00,13:00,7.8,53,37,40,"AC, Restroom",Online/Station
101,Los Angeles,California,Phoenix,Arizona,Southeastern Stages Evening,Seater,427,687,I-5,18:00,01:00,7.8,105,24,55,"AC, Charging",Online
